Fiscal Year,Agency Name,Bureau Name,Account Name,Category,Version,Amount
1962,Executive Office of the President,"Total, General Government",Other interest,Discretionary,Actual,0.8426431718061673
1962,General Services Administration,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,306.94625550660794
1962,General Services Administration,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,27.73286343612332
1962,General Services Administration,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,20.496740088105714
1962,General Services Administration,"Total, General Government",Other interest,Discretionary,Actual,26.82414096916299
1962,International Assistance Programs,"Total, International Affairs",General science and basic research,Discretionary,Actual,914.6761462565293
1962,International Assistance Programs,"Total, International Affairs","Space flight, research, and supporting activities",Discretionary,Actual,2256.3238537434704
1962,National Aeronautics and Space Administration,"Total, General Science, Space, and Technology",Energy supply,Discretionary,Actual,1109.2400662251655
1962,National Aeronautics and Space Administration,"Total, General Science, Space, and Technology","Energy information, policy, and regulation",Discretionary,Actual,147.75993377483434
1962,National Science Foundation,"Total, General Science, Space, and Technology",Energy supply,Discretionary,Actual,161.48841059602648
1962,National Science Foundation,"Total, General Science, Space, and Technology","Energy information, policy, and regulation",Discretionary,Actual,21.511589403973495
1962,Office of Personnel Management,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,817.184140969163
1962,Office of Personnel Management,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,73.83330396475763
1962,Office of Personnel Management,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,54.56854625550657
1962,Office of Personnel Management,"Total, General Government",Other interest,Discretionary,Actual,71.41400881057268
1962,Small Business Administration,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,184.81057268722466
1962,Small Business Administration,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,16.697797356828175
1962,Small Business Administration,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,12.340969162995586
1962,Small Business Administration,"Total, General Government",Other interest,Discretionary,Actual,16.150660792951538
1962,Social Security Administration (Off-Budget),"Total, Income Security",Social security,Mandatory,Actual,14365.0
1962,Other Independent Agencies (On-Budget),"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,1834.4458149779734
1962,Other Independent Agencies (On-Budget),"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,165.74378854625533
1962,Other Independent Agencies (On-Budget),"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,122.4975330396475
1962,Other Independent Agencies (On-Budget),"Total, General Government",Other interest,Discretionary,Actual,160.31286343612334
1962,(On-budget),"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,-4723.115418502202
1962,(On-budget),"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,-426.737621145374
1962,(On-budget),"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,-315.39224669603504
1962,(On-budget),"Total, General Government",Other interest,Discretionary,Actual,-412.7547136563876
1962,(Off-budget),"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,-666.9251101321586
1962,(Off-budget),"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,-60.2572687224669
1962,(Off-budget),"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,-44.534801762114505
1962,(Off-budget),"Total, General Government",Other interest,Discretionary,Actual,-58.282819383259906
1963,Legislative Branch,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,157.6630705394191
1963,Legislative Branch,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,14.260580912863066
1963,Legislative Branch,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,9.273360995850606
1963,Legislative Branch,"Total, General Government",Other interest,Discretionary,Actual,10.802987551867218
1963,Judicial Branch,"Total, Administration of Justice",Legislative functions,Discretionary,Actual,6.256880733944951
1963,Judicial Branch,"Total, Administration of Justice",Executive direction and management,Discretionary,Actual,0.4621559633027478
1963,Judicial Branch,"Total, Administration of Justice",Central fiscal operations,Discretionary,Actual,19.268348623853207
1963,Judicial Branch,"Total, Administration of Justice",General property and records management,Discretionary,Actual,15.606651376146786
1963,Judicial Branch,"Total, Administration of Justice",Central personnel management,Discretionary,Actual,0.782110091743115
1963,Judicial Branch,"Total, Administration of Justice",General purpose fiscal assistance,Discretionary,Actual,8.247706422018346
1963,Judicial Branch,"Total, Administration of Justice",Other general government,Discretionary,Actual,2.2396788990825645
1963,Judicial Branch,"Total, Administration of Justice",Deductions for offsetting receipts,Discretionary,Actual,9.136467889908257
1963,Department of Agriculture,"Total, Agriculture",Mortgage credit,Discretionary,Actual,3222.5315712187958
1963,Department of Agriculture,"Total, Agriculture",Postal service,Discretionary,Actual,4191.468428781203
1963,Department of Commerce,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,290.69128630705393
1963,Department of Commerce,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,26.292946058091278
1963,Department of Commerce,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,17.097759336099553
1963,Department of Commerce,"Total, General Government",Other interest,Discretionary,Actual,19.918008298755186
1963,Department of Defense--Military Programs,"Total, National Defense",International development and humanitarian assistance,Discretionary,Actual,24941.65552739943
1963,Department of Defense--Military Programs,"Total, National Defense",International security assistance,Discretionary,Actual,17699.745802977508
1963,Department of Defense--Military Programs,"Total, National Defense",Conduct of foreign affairs,Discretionary,Actual,2802.797275894834
1963,Department of Defense--Military Programs,"Total, National Defense",Foreign information and exchange activities,Discretionary,Actual,1628.2146024706956
1963,Department of Defense--Military Programs,"Total, National Defense",International financial programs,Discretionary,Actual,4074.5867912575195
1963,Department of Education,"Total, Education, Training, Employment, and Social Services",Health care services,Discretionary,Actual,422.9186767746382
1963,Department of Education,"Total, Education, Training, Employment, and Social Services",Health research and training,Discretionary,Actual,490.1240523776705
1963,Department of Education,"Total, Education, Training, Employment, and Social Services",Consumer and occupational health and safety,Discretionary,Actual,71.95727084769119
1963,Department of Energy,"Total, Energy",Water resources,Discretionary,Actual,1736.056838365897
1963,Department of Energy,"Total, Energy",Conservation and land management,Discretionary,Actual,428.01953818827695
1963,Department of Energy,"Total, Energy",Recreational resources,Discretionary,Actual,177.44227353463572
1963,Department of Energy,"Total, Energy",Pollution control and abatement,Discretionary,Actual,104.30728241563052
1963,Department of Energy,"Total, Energy",Other natural resources,Discretionary,Actual,254.1740674955595
1963,Department of Health and Human Services,"Total, Health",General retirement and disability insurance (excluding social security),Mandatory,Actual,279.15314347125167
1963,Department of Health and Human Services,"Total, Health",Federal employee retirement and disability,Mandatory,Actual,986.3116603976356
1963,Department of Health and Human Services,"Total, Health",Unemployment compensation,Mandatory,Actual,1477.0381515314346
1963,Department of Health and Human Services,"Total, Health",Housing assistance,Mandatory,Actual,79.06394411606644
1963,Department of Health and Human Services,"Total, Health",Food and nutrition assistance,Mandatory,Actual,125.4422353573347
1963,Department of Health and Human Services,"Total, Health",Other income security,Mandatory,Actual,1162.9908651262763
1963,Department of Homeland Security,"Total, Administration of Justice",Legislative functions,Discretionary,Actual,64.78899082568805
1963,Department of Homeland Security,"Total, Administration of Justice",Executive direction and management,Discretionary,Actual,4.78555045871555
1963,Department of Homeland Security,"Total, Administration of Justice",Central fiscal operations,Discretionary,Actual,199.52064220183482
1963,Department of Homeland Security,"Total, Administration of Justice",General property and records management,Discretionary,Actual,161.6043577981651
1963,Department of Homeland Security,"Total, Administration of Justice",Central personnel management,Discretionary,Actual,8.098623853210965
1963,Department of Homeland Security,"Total, Administration of Justice",General purpose fiscal assistance,Discretionary,Actual,85.40366972477062
1963,Department of Homeland Security,"Total, Administration of Justice",Other general government,Discretionary,Actual,23.191513761467846
1963,Department of Homeland Security,"Total, Administration of Justice",Deductions for offsetting receipts,Discretionary,Actual,94.60665137614679
1963,Department of Housing and Urban Development,"Total, Community and Regional Development","Elementary, secondary, and vocational education",Discretionary,Actual,-230.98559670781893
1963,Department of Housing and Urban Development,"Total, Community and Regional Development",Higher education,Discretionary,Actual,-177.93827160493825
1963,Department of Housing and Urban Development,"Total, Community and Regional Development",Research and general education aids,Discretionary,Actual,-22.973251028806544
1963,Department of Housing and Urban Development,"Total, Community and Regional Development",Training and employment,Discretionary,Actual,-84.79218106995884
1963,Department of Housing and Urban Development,"Total, Community and Regional Development",Other labor services,Discretionary,Actual,-35.086419753086396
1963,Department of Housing and Urban Development,"Total, Community and Regional Development",Social services,Discretionary,Actual,-57.22427983539092
1963,Department of the Interior,"Total, Natural Resources and Environment",Farm income stabilization,Discretionary,Actual,673.8845802919708
1963,Department of the Interior,"Total, Natural Resources and Environment",Agricultural research and services,Discretionary,Actual,56.11541970802914
1963,Department of Justice,"Total, Administration of Justice",Legislative functions,Discretionary,Actual,25.834862385321088
1963,Department of Justice,"Total, Administration of Justice",Executive direction and management,Discretionary,Actual,1.9082568807339264
1963,Department of Justice,"Total, Administration of Justice",Central fiscal operations,Discretionary,Actual,79.55963302752292
1963,Department of Justice,"Total, Administration of Justice",General property and records management,Discretionary,Actual,64.44036697247705
1963,Department of Justice,"Total, Administration of Justice",Central personnel management,Discretionary,Actual,3.22935779816512
1963,Department of Justice,"Total, Administration of Justice",General purpose fiscal assistance,Discretionary,Actual,34.05504587155963
1963,Department of Justice,"Total, Administration of Justice",Other general government,Discretionary,Actual,9.24770642201833
1963,Department of Justice,"Total, Administration of Justice",Deductions for offsetting receipts,Discretionary,Actual,37.72477064220183
1963,Department of Labor,"Total, Education, Training, Employment, and Social Services",Health care services,Discretionary,Actual,1512.631977946244
1963,Department of Labor,"Total, Education, Training, Employment, and Social Services",Health research and training,Discretionary,Actual,1753.0020675396277
1963,Department of Labor,"Total, Education, Training, Employment, and Social Services",Consumer and occupational health and safety,Discretionary,Actual,257.36595451412796
1963,Department of State,"Total, International Affairs",General science and basic research,Discretionary,Actual,100.1468852459016
1963,Department of State,"Total, International Affairs","Space flight, research, and supporting activities",Discretionary,Actual,471.8531147540984
1963,Department of Transportation,"Total, Transportation",Community development,Discretionary,Actual,1682.5522648083625
1963,Department of Transportation,"Total, Transportation",Area and regional development,Discretionary,Actual,2216.925087108014
1963,Department of Transportation,"Total, Transportation",Disaster relief and insurance,Discretionary,Actual,245.52264808362364
1963,Department of the Treasury,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,7844.558921161825
1963,Department of the Treasury,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,709.5381742738587
1963,Department of the Treasury,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,461.3980082987543
1963,Department of the Treasury,"Total, General Government",Other interest,Discretionary,Actual,537.5048962655601
1963,Department of Veterans Affairs,"Total, Veterans Benefits and Services",Federal law enforcement activities,Mandatory,Actual,3407.0709677419354
1963,Department of Veterans Affairs,"Total, Veterans Benefits and Services",Federal litigative and judicial activities,Mandatory,Actual,1466.933333333333
1963,Department of Veterans Affairs,"Total, Veterans Benefits and Services",Federal correctional activities,Mandatory,Actual,626.9956989247311
1963,Corps of Engineers--Civil Works,"Total, Transportation",Community development,Discretionary,Actual,432.308362369338
1963,Corps of Engineers--Civil Works,"Total, Transportation",Area and regional development,Discretionary,Actual,569.6080139372823
1963,Corps of Engineers--Civil Works,"Total, Transportation",Disaster relief and insurance,Discretionary,Actual,63.08362369337978
1963,Other Defense--Civil Programs,"Total, National Defense",International development and humanitarian assistance,Discretionary,Actual,525.1952803294266
1963,Other Defense--Civil Programs,"Total, National Defense",International security assistance,Discretionary,Actual,372.7027241051631
1963,Other Defense--Civil Programs,"Total, National Defense",Conduct of foreign affairs,Discretionary,Actual,59.01837187203035
1963,Other Defense--Civil Programs,"Total, National Defense",Foreign information and exchange activities,Discretionary,Actual,34.28523915109272
1963,Other Defense--Civil Programs,"Total, National Defense",International financial programs,Discretionary,Actual,85.79838454228691
1963,Environmental Protection Agency,"Total, Natural Resources and Environment",Farm income stabilization,Discretionary,Actual,80.31227189781022
1963,Environmental Protection Agency,"Total, Natural Resources and Environment",Agricultural research and services,Discretionary,Actual,6.687728102189774
1963,Executive Office of the President,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,10.675103734439833
1963,Executive Office of the President,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,0.9655601659751034
1963,Executive Office of the President,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,0.6278838174273847
1963,Executive Office of the President,"Total, General Government",Other interest,Discretionary,Actual,0.7314522821576763
1963,General Services Administration,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,348.9937759336099
1963,General Services Administration,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,31.566390041493765
1963,General Services Administration,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,20.52697095435681
1963,General Services Administration,"Total, General Government",Other interest,Discretionary,Actual,23.91286307053942
1963,International Assistance Programs,"Total, International Affairs",General science and basic research,Discretionary,Actual,554.8347540983605
1963,International Assistance Programs,"Total, International Affairs","Space flight, research, and supporting activities",Discretionary,Actual,2614.1652459016395
1963,National Aeronautics and Space Administration,"Total, General Science, Space, and Technology",Energy supply,Discretionary,Actual,2167.517890772128
1963,National Aeronautics and Space Administration,"Total, General Science, Space, and Technology","Energy information, policy, and regulation",Discretionary,Actual,384.4821092278718
1963,National Science Foundation,"Total, General Science, Space, and Technology",Energy supply,Discretionary,Actual,174.9642184557439
1963,National Science Foundation,"Total, General Science, Space, and Technology","Energy information, policy, and regulation",Discretionary,Actual,31.035781544256107
1963,Office of Personnel Management,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,964.8651452282157
1963,Office of Personnel Management,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,87.2717842323651
1963,Office of Personnel Management,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,56.751037344398235
1963,Office of Personnel Management,"Total, General Government",Other interest,Discretionary,Actual,66.11203319502074
1963,Small Business Administration,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,116.60497925311203
1963,Small Business Administration,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,10.546887966804976
1963,Small Business Administration,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,6.8584232365145095
1963,Small Business Administration,"Total, General Government",Other interest,Discretionary,Actual,7.989709543568464
1963,Social Security Administration (Off-Budget),"Total, Income Security",Social security,Mandatory,Actual,15788.0
1963,Other Independent Agencies (On-Budget),"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,1326.1763485477177
1963,Other Independent Agencies (On-Budget),"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,119.95228215767631
1963,Other Independent Agencies (On-Budget),"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,78.00248962655587
1963,Other Independent Agencies (On-Budget),"Total, General Government",Other interest,Discretionary,Actual,90.86887966804979
1963,(On-budget),"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,-5296.49377593361
1963,(On-budget),"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,-479.0663900414936
1963,(On-budget),"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,-311.5269709543563
1963,(On-budget),"Total, General Government",Other interest,Discretionary,Actual,-362.9128630705394
1963,(Off-budget),"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,-676.6373443983402
1963,(Off-budget),"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,-61.20165975103732
1963,(Off-budget),"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,-39.79817427385885
1963,(Off-budget),"Total, General Government",Other interest,Discretionary,Actual,-46.36282157676348
1964,Legislative Branch,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,161.60606060606062
1964,Legislative Branch,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,15.242424242424242
1964,Legislative Branch,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,9.196969696969685
1964,Legislative Branch,"Total, General Government",Other interest,Discretionary,Actual,12.95454545454545
1964,Judicial Branch,"Total, Administration of Justice",Legislative functions,Discretionary,Actual,5.841302136317393
1964,Judicial Branch,"Total, Administration of Justice",Executive direction and management,Discretionary,Actual,0.5035605289928731
1964,Judicial Branch,"Total, Administration of Justice",Central fiscal operations,Discretionary,Actual,20.377416073245165
1964,Judicial Branch,"Total, Administration of Justice",General property and records management,Discretionary,Actual,17.859613428280774
1964,Judicial Branch,"Total, Administration of Justice",Central personnel management,Discretionary,Actual,0.7721261444557452
1964,Judicial Branch,"Total, Administration of Justice",General purpose fiscal assistance,Discretionary,Actual,8.090539165818917
1964,Judicial Branch,"Total, Administration of Justice",Other general government,Discretionary,Actual,5.03560528992879
1964,Judicial Branch,"Total, Administration of Justice",Deductions for offsetting receipts,Discretionary,Actual,7.519837232960323
1964,Department of Agriculture,"Total, Agriculture",Mortgage credit,Discretionary,Actual,646.7183544303795
1964,Department of Agriculture,"Total, Agriculture",Postal service,Discretionary,Actual,6922.28164556962
1964,Department of Commerce,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,570.0877112836912
1964,Department of Commerce,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,53.76975788031064
1964,Department of Commerce,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,32.44358154408401
1964,Department of Commerce,"Total, General Government",Other interest,Discretionary,Actual,45.6989492919141
1964,Department of Defense--Military Programs,"Total, National Defense",International development and humanitarian assistance,Discretionary,Actual,27992.6790513834
1964,Department of Defense--Military Programs,"Total, National Defense",International security assistance,Discretionary,Actual,15214.316205533596
1964,Department of Defense--Military Programs,"Total, National Defense",Conduct of foreign affairs,Discretionary,Actual,1920.4956521739089
1964,Department of Defense--Military Programs,"Total, National Defense",Foreign information and exchange activities,Discretionary,Actual,1720.963636363635
1964,Department of Defense--Military Programs,"Total, National Defense",International financial programs,Discretionary,Actual,5736.5454545454495
1964,Department of Education,"Total, Education, Training, Employment, and Social Services",Health care services,Discretionary,Actual,402.6957494407158
1964,Department of Education,"Total, Education, Training, Employment, and Social Services",Health research and training,Discretionary,Actual,503.3696868008949
1964,Department of Education,"Total, Education, Training, Employment, and Social Services",Consumer and occupational health and safety,Discretionary,Actual,66.93456375838923
1964,Department of Energy,"Total, Energy",Water resources,Discretionary,Actual,1684.7233502538072
1964,Department of Energy,"Total, Energy",Conservation and land management,Discretionary,Actual,419.73942470389164
1964,Department of Energy,"Total, Energy",Recreational resources,Discretionary,Actual,192.57275803722504
1964,Department of Energy,"Total, Energy",Pollution control and abatement,Discretionary,Actual,134.91624365482224
1964,Department of Energy,"Total, Energy",Other natural resources,Discretionary,Actual,294.04822335025375
